"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1019.138916,1019.13541617067,1018.459473,1019.777344,1019.071228,1019.20391825,3000,1581828458.59584,1581828608.94914,2020-02-16 09:50:08,0
"2",2,1019.242432,1019.237296225,1018.845947,1019.631836,1019.156433,1019.316162,3000,1581832061.05246,1581832211.40144,2020-02-16 10:50:11,3602.45662117004
"3",3,1019.594482,1019.59806315467,1018.779785,1020.153809,1019.509766,1019.687256,3000,1581835664.13121,1581835814.48016,2020-02-16 11:50:14,3603.07874679565
"4",4,1018.880005,1018.893448894,1017.913574,1019.407227,1018.785645,1018.993408,3000,1581839267.19266,1581839417.54159,2020-02-16 12:50:17,3603.06144714355
"5",5,1019.790649,1019.77993708033,1019.350586,1020.151367,1019.703857,1019.866455,3000,1581842870.26271,1581843020.61169,2020-02-16 13:50:20,3603.07005596161
"6",6,1017.446167,1017.55628360933,1015.563965,1019.275879,1017.06542975,1017.9174195,3000,1581846473.08224,1581846623.53057,2020-02-16 14:50:23,3602.81952500343
"7",7,1017.601318,1017.56009317667,1015.943359,1018.132568,1017.485535,1017.707031,3000,1581850076.17824,1581850226.5315,2020-02-16 15:50:26,3603.09600710869
"8",8,1014.560303,1014.58083789033,1013.102783,1016.705566,1014.16967775,1014.963989,3000,1581853679.25695,1581853829.61025,2020-02-16 16:50:29,3603.07870578766
"9",9,1015.0081785,1014.96639649167,1013.52832,1016.376709,1014.613281,1015.3573,3000,1581857282.11968,1581857432.46864,2020-02-16 17:50:32,3602.86273503304
"10",10,1014.264404,1014.214850742,1012.779785,1015.323486,1013.945251,1014.501221,3000,1581860885.38849,1581861035.74175,2020-02-16 18:50:35,3603.26880908012
"11",11,1013.812622,1013.804943356,1012.420654,1015.043945,1013.48388675,1014.135376,3000,1581864488.64865,1581864638.89823,2020-02-16 19:50:38,3603.26015806198
"12",12,1015.663696,1015.66161664578,1014.69458,1016.14502,1015.525024,1015.805176,3080,1581868091.2176,1581868237.38046,2020-02-16 20:50:37,3602.56895184517
"13",13,1015.611816,1015.599380699,1014.962402,1016.838867,1015.491943,1015.71167,3000,1581871694.39134,1581871844.952,2020-02-16 21:50:44,3603.17373800278
"14",14,1015.711182,1015.705947027,1014.577637,1017.115967,1015.61389175,1015.806152,3000,1581875297.47874,1581875447.832,2020-02-16 22:50:47,3603.08739614487
"15",15,1013.442505,1013.40725887033,1011.903809,1015.466797,1013.1875,1013.650391,3000,1581878900.32417,1581879050.66878,2020-02-16 23:50:50,3602.8454349041
"16",16,1012.707886,1012.70256014333,1011.58374,1013.906982,1012.387146,1012.99707025,3000,1581882503.79169,1581882654.14063,2020-02-17 00:50:54,3603.46751999855
"17",17,1013.822632,1013.81771621433,1013.315186,1014.44165,1013.701904,1013.938965,3000,1581886106.75807,1581886257.11137,2020-02-17 01:50:57,3602.96637606621
"18",18,1012.270996,1012.680552567,1010.258545,1014.443359,1011.88208,1013.99585,3000,1581889710.19968,1581889860.54865,2020-02-17 02:51:00,3603.44160890579
